#TYPE Microsoft.Management.Infrastructure.CimInstance#ROOT/Microsoft/Windows/SMB/MSFT_SmbShare
"PresetPathAcl","ShareState","AvailabilityType","ShareType","FolderEnumerationMode","CachingMode","LeasingMode","SmbInstance","CATimeout","ConcurrentUserLimit","ContinuouslyAvailable","CurrentUsers","Description","EncryptData","IdentityRemoting","Infrastructure","Name","Path","Scoped","ScopeName","SecurityDescriptor","ShadowCopy","Special","Temporary","Volume","PSComputerName"
,"Online","NonClustered","FileSystemDirectory","Unrestricted","Manual","Full","Default","0","0","False","0","Remote Admin","False","False","False","ADMIN$","C:\Windows","False","*","O:SYG:SYD:(A;;GA;;;BA)(A;;GA;;;BO)(A;;GA;;;IU)","False","True","False","\\?\Volume{f0c40b51-0ed0-4214-9e01-d9228d180ff6}\",
,"Online","NonClustered","FileSystemDirectory","Unrestricted","Manual","Full","Default","0","0","False","0","Default share","False","False","False","C$","C:\","False","*","O:SYG:SYD:(A;;GA;;;BA)(A;;GA;;;BO)(A;;GA;;;IU)","False","True","False","\\?\Volume{f0c40b51-0ed0-4214-9e01-d9228d180ff6}\",
,"Online","NonClustered","InterprocessCommunication","Unrestricted","Manual","Full","Default","0","0","False","0","Remote IPC","False","False","False","IPC$","","False","*","O:SYG:SYD:(A;;GA;;;BA)(A;;GA;;;BO)(A;;GA;;;IU)","False","True","False",,
