"name","Path"
"KeyIso","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""KeyIso"""
"KPSSVC","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""KPSSVC"""
"KtmRm","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""KtmRm"""
"LanmanServer","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""LanmanServer"""
"LanmanWorkstation","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""LanmanWorkstation"""
"lfsvc","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""lfsvc"""
"LicenseManager","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""LicenseManager"""
"lltdsvc","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""lltdsvc"""
"lmhosts","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""lmhosts"""
"LSM","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""LSM"""
"MapsBroker","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""MapsBroker"""
"mpssvc","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""mpssvc"""
"MSDTC","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""MSDTC"""
"MSiSCSI","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""MSiSCSI"""
"msiserver","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""msiserver"""
"NcaSvc","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""NcaSvc"""
"NcbService","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""NcbService"""
"Netlogon","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""Netlogon"""
"Netman","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""Netman"""
"netprofm","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""netprofm"""
"NetSetupSvc","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""NetSetupSvc"""
"NetTcpPortSharing","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""NetTcpPortSharing"""
"NgcCtnrSvc","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""NgcCtnrSvc"""
"NgcSvc","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""NgcSvc"""
"NlaSvc","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""NlaSvc"""
"nsi","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""nsi"""
"PcaSvc","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""PcaSvc"""
"PerfHost","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""PerfHost"""
"PhoneSvc","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""PhoneSvc"""
"pla","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""pla"""
"PlugPlay","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""PlugPlay"""
"PolicyAgent","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""PolicyAgent"""
"Power","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""Power"""
"PrintNotify","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""PrintNotify"""
"ProfSvc","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""ProfSvc"""
"PushToInstall","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""PushToInstall"""
"QWAVE","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""QWAVE"""
"RasAuto","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""RasAuto"""
"RasMan","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""RasMan"""
"RemoteAccess","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""RemoteAccess"""
"RemoteRegistry","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""RemoteRegistry"""
"RmSvc","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""RmSvc"""
"RpcEptMapper","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""RpcEptMapper"""
"RpcLocator","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""RpcLocator"""
"RpcSs","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""RpcSs"""
"RSoPProv","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""RSoPProv"""
"sacsvr","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""sacsvr"""
"SamSs","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""SamSs"""
"SCardSvr","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""SCardSvr"""
"ScDeviceEnum","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""ScDeviceEnum"""
"Schedule","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""Schedule"""
"SCPolicySvc","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""SCPolicySvc"""
"seclogon","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""seclogon"""
"SecurityHealthService","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""SecurityHealthService"""
"SEMgrSvc","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""SEMgrSvc"""
"SENS","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""SENS"""
"Sense","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""Sense"""
"SensorDataService","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""SensorDataService"""
"SensorService","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_Service.Name=""SensorService"""
