#TYPE System.Management.ManagementObject#root\cimv2\Win32_NetworkAdapterConfiguration
"PSComputerName","__GENUS","__CLASS","__SUPERCLASS","__DYNASTY","__RELPATH","__PROPERTY_COUNT","__DERIVATION","__SERVER","__NAMESPACE","__PATH","ArpAlwaysSourceRoute","ArpUseEtherSNAP","Caption","DatabasePath","DeadGWDetectEnabled","DefaultIPGateway","DefaultTOS","DefaultTTL","Description","DHCPEnabled","DHCPLeaseExpires","DHCPLeaseObtained","DHCPServer","DNSDomain","DNSDomainSuffixSearchOrder","DNSEnabledForWINSResolution","DNSHostName","DNSServerSearchOrder","DomainDNSRegistrationEnabled","ForwardBufferMemory","FullDNSRegistrationEnabled","GatewayCostMetric","IGMPLevel","Index","InterfaceIndex","IPAddress","IPConnectionMetric","IPEnabled","IPFilterSecurityEnabled","IPPortSecurityEnabled","IPSecPermitIPProtocols","IPSecPermitTCPPorts","IPSecPermitUDPPorts","IPSubnet","IPUseZeroBroadcast","IPXAddress","IPXEnabled","IPXFrameType","IPXMediaType","IPXNetworkNumber","IPXVirtualNetNumber","KeepAliveInterval","KeepAliveTime","MACAddress","MTU","NumForwardPackets","PMTUBHDetectEnabled","PMTUDiscoveryEnabled","ServiceName","SettingID","TcpipNetbiosOptions","TcpMaxConnectRetransmissions","TcpMaxDataRetransmissions","TcpNumConnections","TcpUseRFC1122UrgentPointer","TcpWindowSize","WINSEnableLMHostsLookup","WINSHostLookupFile","WINSPrimaryServer","WINSScopeID","WINSSecondaryServer"
"WIN-NUSQ0F7JDCU","2","Win32_NetworkAdapterConfiguration","CIM_Setting","CIM_Setting","Win32_NetworkAdapterConfiguration.Index=0","61","System.String[]","WIN-NUSQ0F7JDCU","root\cimv2","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_NetworkAdapterConfiguration.Index=0",,,"[00000000] Microsoft Kernel Debug Network Adapter",,,,,,"Microsoft Kernel Debug Network Adapter","True",,,,,,,,,,,,,,"0","6",,,"False",,,,,,,,,,,,,,,,,,,,,"kdnic","{E08589AF-3C4B-4C13-829C-8E655FFDF455}",,,,,,,,,,,
"WIN-NUSQ0F7JDCU","2","Win32_NetworkAdapterConfiguration","CIM_Setting","CIM_Setting","Win32_NetworkAdapterConfiguration.Index=1","61","System.String[]","WIN-NUSQ0F7JDCU","root\cimv2","\\WIN-NUSQ0F7JDCU\root\cimv2:Win32_NetworkAdapterConfiguration.Index=1",,,"[00000001] Intel(R) 82574L Gigabit Network Connection","%SystemRoot%\System32\drivers\etc",,"System.String[]",,,"Intel(R) 82574L Gigabit Network Connection","True","20211119144834.000000-300","20211119141834.000000-300","192.168.229.254","localdomain","System.String[]","False","WIN-NUSQ0F7JDCU","System.String[]","False",,"True","System.UInt16[]",,"1","4","System.String[]","25","True","False",,"System.String[]","System.String[]","System.String[]","System.String[]",,,,,,,,,,"00:0C:29:31:96:84",,,,,"e1iexpress","{8F5AE651-D65E-445B-83CC-3947B82652FE}","0",,,,,,"True",,"192.168.229.2","",
